Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Charlie Morton","ATL",0.38731637,94.01757632,,,0.07918309,88.5520362,0.42350412,81.55752961,0.10999642,85.00651466,,,,,0.00178891,"Charlie Morton",4676,450203
"Patrick Corbin","WSN",0.41412742,91.47658863,0.34279778,79.37474747,0.20948753,85.53057851,,,0.03358726,81.09278351,,,,,0.00034626,"Patrick Corbin",9323,571578
"Miles Mikolas","STL",0.5109138,92.8826937,0.28375879,85.73533246,,,0.12097669,76.30275229,0.08435072,85.64473684,,,,,0.00073937,"Miles Mikolas",9803,571945
"Kyle Gibson","STL",0.39218524,90.97416974,0.20875543,80.77642981,0.21562952,88.66946309,0.08429812,78.30901288,0.09913169,84.94160584,,,,,0.00036179,"Kyle Gibson",10123,502043
"Chris Sale","ATL",0.45506217,94.75175644,0.40319716,78.70396476,,,,,0.14174067,86.93483709,,,,,0.00106458,"Chris Sale",10603,519242
"Jose Quintana","NYM",0.52891096,90.78739101,0.05391983,77.95394737,,,0.22419298,77.62816456,0.19297623,85.76470588,,,,,0.002477,"Jose Quintana",11423,500779
"Jameson Taillon","CHC",0.40555779,92.39821251,0.15465163,80.48697917,0.25050342,86.55787781,0.1469996,79.62191781,0.04228756,86.02857143,,,,,,"Jameson Taillon",11674,592791
"Sonny Gray","STL",0.41723721,92.56756757,0.20257753,84.80119284,0.17720499,87.74318182,0.13934756,79.97976879,0.0636327,88.35443038,,,,,0.00120676,"Sonny Gray",12768,543243
"Tyler Anderson","LAA",0.42862045,89.40432346,0.00617708,81.27777778,0.19286205,84.21530249,0.00102951,71.66666667,0.37131091,78.98983364,,,,,0.00240137,"Tyler Anderson",12880,542881
"Max Fried","ATL",0.49384504,93.78445748,0.15821868,83.798627,,,0.21107893,74.69468268,0.13685735,85.77777778,,,,,0.00144613,"Max Fried",13743,608331
"Zach Eflin","- - -",0.37106661,91.9339207,0.10298324,79.71428571,0.28483858,88.19942611,0.18022068,78.86848073,0.06089089,85.74496644,,,,,,"Zach Eflin",13774,621107
"Michael Wacha","KCR",0.39085319,93.64011799,0.07993851,83.88942308,0.12528824,88.54601227,0.08147579,75.23584906,0.32244427,81.27056019,,,,,0.00115252,"Michael Wacha",14078,608379
"José Berríos","TOR",0.52161977,93.6625,,,0.03328758,91.37113402,0.28551819,83.25480769,0.15957447,84.86236559,,,,,0.00205761,"Jose Berrios",14168,621244
"Luis Castillo","SEA",0.63378804,95.62230812,0.22315495,85.71003135,,,,,0.14305701,88.08801956,,,,,0.00279818,"Luis Castillo",15689,622491
"Sean Manaea","NYM",0.55974633,92.37149672,0.24499332,79.34877384,0.07810414,88.31196581,,,0.11715621,85.35897436,,,,,0.00033367,"Sean Manaea",15873,640455
"Luis Severino","NYM",0.59861592,95.97283237,0.24221453,85.67571429,0.08373702,92.75619835,,,0.07543253,86.1559633,,,,,0.00069156,"Luis Severino",15890,622663
"Carlos Rodón","NYY",0.49419729,95.48727984,0.25950999,86.86583851,0.0341715,91.83962264,0.08317215,81.1124031,0.12894907,85.565,,,,,,"Carlos Rodon",16137,607074
"Aaron Nola","PHI",0.48291,92.12402597,,,0.09219191,87.52040816,0.32894324,79.16587226,0.09595484,85.75816993,,,,,0.00125274,"Aaron Nola",16149,605400
"Austin Gomber","COL",0.40442579,90.46886792,0.16673026,83.81006865,,,0.22396032,77.62010221,0.20488363,81.07821229,,,,,0.00038139,"Austin Gomber",16561,596295
"Pablo López","MIN",0.48158071,94.99374131,0.21868721,84.50382848,,,0.09979906,82.47651007,0.19993302,88.54438861,,,,,,"Pablo Lopez",17085,641154
"Framber Valdez","HOU",0.47074673,94.1529027,,,0.043495,85.0619469,0.31254811,79.69211823,0.17321016,89.92222222,,,,,0.00268714,"Framber Valdez",17295,664285
