Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Jarrod Washburn","SEA",0.58923513,87.73413174,0.1145735,77.02121212,0.10670444,87.00319489,0.06263771,71.5698324,0.12684923,79.83028721,,,,,0.0272088,"Jarrod Washburn",40,132220
"Tom Glavine","NYM",0.5059073,83.679029,0.01908513,78.13333333,,,0.0251439,69.89230769,0.44986368,76.83481481,,,,,0.01167315,"Tom Glavine",90,114849
"Greg Maddux","SDP",0.72469325,84.72168088,0.01533742,79.86111111,0.04294479,82.72815534,0.00920245,71.73913043,0.20782209,79.26422764,,,,,0.02774695,"Greg Maddux",104,118120
"Jason Marquis","CHC",0.64770017,90.35765472,0.16388416,85.29024943,0.06132879,86.26973684,0.01942078,74.37209302,0.1076661,82.86219081,,,,,0.02971278,"Jason Marquis",105,150302
"Erik Bedard","BAL",0.57856898,91.60082023,,,0.03081137,89.65,0.34166381,77.49656751,0.04895584,81.31060606,,,,,0.00814664,"Erik Bedard",126,407853
"Derek Lowe","LAD",0.66880054,89.16358696,0.19171159,81.58834586,,,0.00033693,,0.13915094,83.8245614,,,,,0.01456954,"Derek Lowe",199,117955
"Tim Wakefield","BOS",0.13642807,74.16451613,,,,,0.03720765,61.7704918,,,,,0.82636428,66.8287596,0.01666088,"Tim Wakefield",219,123801
"Mark Buehrle","CHW",0.44644045,85.87921847,0.06087824,79.63580247,0.19760479,82.25198413,0.10146374,70.60700389,0.19361277,78.00203252,,,,,0.02868192,"Mark Buehrle",225,279824
"Jon Garland","CHW",0.65303594,89.26497934,0.15303594,80.92358079,,,0.05204461,73.41216216,0.14188352,78.48067633,,,,,0.01943517,"Jon Garland",232,279782
"CC Sabathia","CLE",0.60571752,92.931576,0.20945372,80.67086614,,,,,0.18482876,85.08739496,,,,,0.01340408,"CC Sabathia",404,282332
"Josh Beckett","BOS",0.63090968,94.56104252,,,0.00228236,93,0.25138572,77.15270936,0.11542224,87.88059701,,,,,0.01032258,"Josh Beckett",510,277417
"A.J. Burnett","TOR",0.66653846,95.09663565,,,,,0.26269231,82.11795775,0.07076923,88.13970588,,,,,0.01585504,"A.J. Burnett",512,150359
"Brad Penny","LAD",0.71737089,93.3902214,,,,,0.12644757,77.12953368,0.15618153,84.79141104,,,,,0.00619771,"Brad Penny",535,207267
"Roy Oswalt","HOU",0.65572755,92.66666667,0.11393189,84.74132492,,,0.16377709,71.66067416,0.06656347,83.82291667,,,,,0.02058734,"Roy Oswalt",571,400061
"Jeff Suppan","MIL",0.59452813,87.88359788,0.1583154,83.48564593,,,0.1149708,72.33986928,0.13218567,80.68716578,,,,,0.02163462,"Jeff Suppan",633,122987
"Kyle Lohse","- - -",0.52596315,90.79580745,0.2318258,84.91130435,0.00033501,,0.06097152,75.1910828,0.18090452,82.34210526,,,,,0.01544528,"Kyle Lohse",739,346798
"Johan Santana","MIN",0.59224477,91.74274973,0.11632839,84.8766756,,,,,0.29142684,81.87700535,,,,,0.01315396,"Johan Santana",755,276371
"Ted Lilly","CHC",0.56363636,88.40595497,0.14670846,82.0726817,,,0.16865204,70.7079646,0.12100313,79.30283912,,,,,0.0154321,"Ted Lilly",833,150404
"Andy Pettitte","NYY",0.5331944,89.06548431,0.04763322,83.19230769,0.18160167,85.23371648,0.10925871,73.5017301,0.128312,79.29888268,,,,,0.00942563,"Andy Pettitte",840,120485
"Barry Zito","SFG",0.56821589,84.4735432,0.04257871,77.8125,,,0.1874063,70.37944664,0.2017991,72.98696462,,,,,0.02228086,"Barry Zito",944,217096
"Carlos Silva","MIN",0.68250251,91.08040842,0.08732017,82.91079812,,,,,0.23017732,81.40862069,,,,,0.02224403,"Carlos Silva",973,400067
"Bronson Arroyo","CIN",0.43809809,88.40015302,0.10586124,75.59752322,0.027811,85.1625,0.28020335,71.31904762,0.14802632,79.21830986,,,,,0.0236014,"Bronson Arroyo",978,276520
"Josh Fogg","COL",0.44984448,87.67787971,0.09797823,81.19642857,0.11664075,85.25441696,0.11625194,76.7519084,0.2192846,80.70468432,,,,,0.03775701,"Josh Fogg",989,150319
"Kip Wells","STL",0.59883932,90.69495596,0.17337686,84.05670103,,,0.12332245,78.71595331,0.10446137,83.89041096,,,,,0.01458037,"Kip Wells",1012,150337
"Jake Peavy","SDP",0.57564679,92.49911295,0.23228346,83.38081805,0.0928009,87.3125,0.02502812,76.45205479,0.07424072,84.27196653,,,,,0.01385042,"Jake Peavy",1051,408241
"Gil Meche","KCR",0.48365826,92.18933698,0.15768349,87.51313131,,,0.22219037,77.30635838,0.13646789,83,,,,,0.02430847,"Gil Meche",1089,219194
"Jamie Moyer","PHI",0.37669464,81.09253066,0.01323434,78.02941176,0.24435119,79.36842105,0.07908328,69.31318681,0.28663654,73.68277946,,,,,0.01524778,"Jamie Moyer",1091,119469
"Livan Hernandez","ARI",0.59287224,83.6,0.2204772,77.54796748,0.00030202,79,0.0884929,64.93457944,0.09785563,75.79461279,,,,,0.01457899,"Livan Hernandez",1116,115817
