Name,Team,Name,Team,Season,Age,W,L,ERA,G,IP,K/9,vFA (pi),ERA,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,NameASCII,PlayerId,MLBAMID
"Aaron Nola","PHI","Aaron Nola","PHI",2024,31,14,8,3.5668897231211,33,199.1,8.894649056390591,92.5970207622298,3.5668897231211,0.48291,92.12402597,,,0.09219191,87.52040816,0.32894324,79.16587226,0.09595484,85.75816993,,,,,"Aaron Nola",16149,605400
"Austin Gomber","COL","Austin Gomber","COL",2024,30,5,12,4.745454545454545,30,165,6.327272727272727,90.53192259933775,4.745454545454545,0.40442579,90.46886792,0.16673026,83.81006865,,,0.22396032,77.62010221,0.20488363,81.07821229,,,,,"Austin Gomber",16561,596295
"Bailey Ober","MIN","Bailey Ober","MIN",2024,28,12,9,3.9794778385149736,31,178.2,9.621269204510886,91.7146841561284,3.9794778385149736,0.38130564,91.78501946,0.11609792,80.34824281,0.19510386,86.21863118,0.01372404,76.43243243,0.29376855,83.40909091,,,,,"Bailey Ober",21224,641927
"Brady Singer","KCR","Brady Singer","KCR",2024,27,9,13,3.7068647738859655,32,179.2,8.515770426494786,91.73305708586626,3.7068647738859655,0.52764666,92.16357827,0.45515846,82.91777778,,,,,0.01719488,87.92156863,,,,,"Brady Singer",25377,663903
"Brandon Pfaadt","ARI","Brandon Pfaadt","ARI",2024,25,11,10,4.706422281887357,32,181.2,9.165138127885907,93.88067346256685,4.706422281887357,0.55710705,93.78534704,0.27318296,84.85976409,,,0.05298962,80.84459459,0.11278195,87.4984127,0.00393842,89.81818182,,,"Brandon Pfaadt",27782,694297
"Brayan Bello","BOS","Brayan Bello","BOS",2024,25,14,8,4.490759894298887,30,162.1,8.482546467009008,95.65701622596154,4.490759894298887,0.4501845,95.70819672,0.2804428,86.83157895,,,,,0.26937269,87.67260274,,,,,"Brayan Bello",23920,678394
"Bryce Miller","SEA","Bryce Miller","SEA",2024,25,12,8,2.9445472179856282,31,180.1,8.534196174161735,95.30685427433247,2.9445472179856282,0.59403419,95.07042254,0.16806111,84.54545455,0.02218989,92.24590164,0.04474354,84.99186992,,,0.17097126,84.47021277,,,"Bryce Miller",29837,682243
"Carlos Rodón","NYY","Carlos Rodón","NYY",2024,31,16,9,3.96,32,175,10.028571428571428,95.44512270190414,3.96,0.49419729,95.48727984,0.25950999,86.86583851,0.0341715,91.83962264,0.08317215,81.1124031,0.12894907,85.565,,,,,"Carlos Rodon",16137,607074
"Charlie Morton","ATL","Charlie Morton","ATL",2024,40,8,10,4.1915323870115095,30,165.1,9.09072608611587,94.2796291076031,4.1915323870115095,0.38731637,94.01757632,,,0.07918309,88.5520362,0.42350412,81.55752961,0.10999642,85.00651466,,,,,"Charlie Morton",4676,450203
"Chris Bassitt","TOR","Chris Bassitt","TOR",2024,35,10,14,4.157894736842105,31,171,8.842105263157896,92.66085178732014,4.157894736842105,0.45116593,92.57303371,0.1176073,77.25,0.19837783,89.63373083,0.13687056,71.02716049,0.05339642,84.46202532,0.04258195,84.20634921,,,"Chris Bassitt",12304,605135
"Chris Sale","ATL","Chris Sale","ATL",2024,35,18,3,2.380863175718908,29,177.2,11.397749245462858,94.94208480046949,2.380863175718908,0.45506217,94.75175644,0.40319716,78.70396476,,,,,0.14174067,86.93483709,,,,,"Chris Sale",10603,519242
"Cole Ragans","KCR","Cole Ragans","KCR",2024,26,11,9,3.1395349694195023,32,186.1,10.771019972008446,95.54908834226646,3.1395349694195023,0.41821681,95.44785276,0.13341886,86.08894231,0.1080821,90.96130952,0.10359205,80.82972136,0.23669019,84.81842818,,,,,"Cole Ragans",21846,666142
"Colin Rea","MIL","Colin Rea","MIL",2024,33,12,6,4.294234755280374,32,167.2,7.2465211495356305,93.0369091892429,4.294234755280374,0.50415094,92.60404192,0.17018868,82.06651885,0.19396226,87.69455253,0.04415094,78.79487179,,,0.08754717,86.54741379,,,"Colin Rea",12317,607067
"Corbin Burnes","BAL","Corbin Burnes","BAL",2024,29,15,9,2.917667314785712,32,194.1,8.38250450755895,,2.917667314785712,0.08013356,97,0.14490818,87.22119816,0.44808013,95.31818182,0.2163606,80.32253086,0.11051753,89.26283988,,,,,"Corbin Burnes",19361,669203
"Cristopher Sánchez","PHI","Cristopher Sánchez","PHI",2024,27,11,9,3.319266240910031,31,181.2,7.579816938197533,,3.319266240910031,0.47336432,94.52870091,0.16839471,84.43312102,0.0014301,87,,,0.35681087,85.16132265,,,,,"Cristopher Sanchez",20778,650911
"Dylan Cease","SDP","Dylan Cease","SDP",2024,28,14,11,3.470070515755412,33,189.1,10.64788760998921,96.92338346541787,3.470070515755412,0.43538269,96.91714697,0.42973651,87.69562044,0.00690088,91.77272727,0.11919699,82.45263158,0.00878294,69.71428571,,,,,"Dylan Cease",18525,656302
"Erick Fedde","- - -","Erick Fedde","- - -",2024,31,9,9,3.298872275069166,31,177.1,7.815789697856177,93.37863498263889,3.298872275069166,0.31176471,93.04661487,0.2017301,83.5025729,0.32318339,89.98286938,,,,,0.1633218,87.70974576,,,"Erick Fedde",17425,607200
"Framber Valdez","HOU","Framber Valdez","HOU",2024,30,15,7,2.9092628438408847,28,176.1,8.62570913349315,95.94760131835938,2.9092628438408847,0.47074673,94.1529027,,,0.043495,85.0619469,0.31254811,79.69211823,0.17321016,89.92222222,,,,,"Framber Valdez",17295,664285
"Freddy Peralta","MIL","Freddy Peralta","MIL",2024,28,11,9,3.6794627875015222,32,173.2,10.364683908454992,94.43561667171412,3.6794627875015222,0.53881279,94.38559322,0.2159165,81.50453172,,,0.0704501,78.15740741,0.17482061,87.78731343,,,,,"Freddy Peralta",18679,642547
"George Kirby","SEA","George Kirby","SEA",2024,26,14,11,3.5340314136125652,33,191,8.434554973821989,96.18291523552503,3.5340314136125652,0.57633974,96.05964912,0.23862487,87.24858757,0.00370745,92.27272727,0.07954162,83.33898305,,,0.10144928,86.00664452,0.00033704,74,"George Kirby",25436,669923
"Griffin Canning","LAA","Griffin Canning","LAA",2024,28,6,13,5.190291569699278,32,171.2,6.815534384453598,93.70315031828704,5.190291569699278,0.38598326,93.48780488,0.24058577,87.73623188,,,0.10704324,80.59609121,0.26638773,88.62172775,,,,,"Griffin Canning",19867,656288
"Hunter Brown","HOU","Hunter Brown","HOU",2024,25,11,9,3.4941176470588236,31,170,9.476470588235294,96.12489516028828,3.4941176470588236,0.52959502,95.87843137,0.05434406,89.1910828,0.16787816,92.51546392,0.12461059,82.89722222,,,0.12357217,88.36134454,,,"Hunter Brown",25880,686613
"Jack Flaherty","- - -","Jack Flaherty","- - -",2024,28,13,7,3.166666741233796,28,162,10.777778031567657,93.40228853798587,3.166666741233796,0.46477228,93.24539363,0.29155313,84.79572764,,,0.21720514,77.42293907,0.02646944,85.85294118,,,,,"Jack Flaherty",17479,656427
"Jake Irvin","WSN","Jake Irvin","WSN",2024,27,10,14,4.412078391911096,33,187.2,7.481350316718815,94.06858093368237,4.412078391911096,0.57977676,93.79105323,0.0026264,86.125,0.06533158,89.95477387,0.31319764,81.15513627,0.03906763,88.62184874,,,,,"Jake Irvin",21504,663623
"Jameson Taillon","CHC","Jameson Taillon","CHC",2024,32,12,8,3.266129132736241,28,165.1,6.804435693200502,92.54225017289073,3.266129132736241,0.40555779,92.39821251,0.15465163,80.48697917,0.25050342,86.55787781,0.1469996,79.62191781,0.04228756,86.02857143,,,,,"Jameson Taillon",11674,592791
