Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",18,4,0,31,31,192,10.6875,1.640625,0.703125,0.27253218884120173,0.8,0.45702306,0.087719298,96.99477782943677,2.390625,2.72,2.4946047782897955,2.8256122650811455,5.860317230224609,"Tarik Skubal",22267,669373
"Dylan Cease","SDP",14,11,0,33,33,189.1,10.64788760998921,3.0897888153986544,0.8556338258027043,0.26269315673289184,0.6935123,0.397849462,0.091370558,96.92338346541787,3.470070515755412,3.31,3.0978178046142695,3.4351364194456018,4.761360168457031,"Dylan Cease",18525,656302
"Logan Gilbert","SEA",9,12,0,33,33,208.2,9.488818353954882,1.595846723165139,1.121405805467395,0.2364341085271318,0.69462647,0.451492537,0.128712871,96.76760925876727,3.2348244388482548,3.14,3.2671187608317407,3.1110118748995474,4.076137542724609,"Logan Gilbert",22250,669302
"Luis Severino","NYM",11,7,0,31,31,182,7.961538461538462,2.967032967032967,1.1373626373626373,0.2826086956521739,0.73730469,0.459615384,0.122994652,96.34099673000988,3.9065934065934065,3.88,4.210435822245839,4.121125778089185,2.102358341217041,"Luis Severino",15890,622663
"George Kirby","SEA",14,11,0,33,33,191,8.434554973821989,1.0837696335078535,1.036649214659686,0.2906764168190128,0.71587125,0.412811387,0.096069868,96.18291523552503,3.5340314136125652,3.44,3.26072061598613,3.5761652496238656,4.203962802886963,"George Kirby",25436,669923
"MacKenzie Gore","WSN",10,12,0,32,32,166.1,9.79358747382422,3.517034175682731,0.8116232713113994,0.33986928104575165,0.68141593,0.391489361,0.090361445,96.12840411888956,3.895791702294717,4.2,3.533213256437909,3.8698469066084726,3.2344818115234375,"MacKenzie Gore",22201,669022
"Hunter Brown","HOU",11,9,0,31,30,170,9.476470588235294,3.176470588235294,0.9529411764705882,0.30666666666666664,0.76608784,0.489270386,0.126760563,96.12489516028828,3.4941176470588236,3.31,3.5841268371133244,3.47062797642806,3.1287264227867126,"Hunter Brown",25880,686613
"Framber Valdez","HOU",15,7,0,28,28,176.1,8.62570913349315,2.80718344581138,0.6635160871917808,0.27608695652173915,0.77133479,0.605603448,0.139784946,95.94760131835938,2.9092628438408847,3.41,3.2458748656460767,3.0849114306362346,3.6095006465911865,"Framber Valdez",17295,664285
"Luis Castillo","SEA",11,12,0,30,30,175.1,8.9828899944259,2.412547598502956,1.2832699992037,0.284796573875803,0.78285714,0.393004115,0.122549019,95.69790248054474,3.6444867977385083,3.91,3.9136280889372825,3.8192348249970838,2.342348098754883,"Luis Castillo",15689,622491
"Brayan Bello","BOS",14,8,0,30,30,162.1,8.482546467009008,3.548254731297886,1.0533881233540598,0.3032967032967033,0.72054528,0.508474576,0.147286821,95.65701622596154,4.490759894298887,4.56,4.189067079323561,3.8690408951852655,2.000455617904663,"Brayan Bello",23920,678394
"Nathan Eovaldi","TEX",12,8,0,29,29,170.2,8.753906771773504,2.214843882014983,1.212890697293919,0.27074235807860264,0.74481074,0.483263598,0.146496815,95.63152639314929,3.796875226311399,3.91,3.8344485681038374,3.473425029652539,2.69415283203125,"Nathan Eovaldi",9132,543135
"Yusei Kikuchi","- - -",9,10,0,32,32,175.2,10.554080078374009,2.254269531303186,1.2808349609677194,0.3093681917211329,0.71910112,0.425887265,0.135135135,95.57594159388647,4.047438476657994,3.7,3.456802369442478,3.1990503021500785,3.5434828996658325,"Yusei Kikuchi",20633,579328
"Cole Ragans","KCR",11,9,0,32,32,186.1,10.771019972008446,3.236136045401641,0.724508069866039,0.29046563192904656,0.74747475,0.407407407,0.080645161,95.54908834226646,3.1395349694195023,3.31,2.9947445320993267,3.457536477955223,4.880326747894287,"Cole Ragans",21846,666142
"Zack Wheeler","PHI",16,7,0,32,32,200,10.08,2.34,0.9,0.2463768115942029,0.80116959,0.426,0.102564102,95.46789937258687,2.565,2.8,3.126479778289795,3.300687974356115,5.428380012512207,"Zack Wheeler",10310,554430
