Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update,NameASCII,PlayerId,MLBAMID
Luis Garcia,HOU,SP,05/19/23,Tommy John surgery,Projected Injured List,,,,No timetable for return,Luis Garcia,23735,677651
Lance McCullers Jr.,HOU,SP,06/13/23,Elbow surgery (flexor tendon/bone spur),Projected Injured List,,,,No timetable for return,Lance McCullers Jr.,14120,621121
Liam Hendriks,BOS,RP,08/02/23,Tommy John surgery,Projected Opening Day Roster,,,,Questionable for Opening Day,Liam Hendriks,3548,521230
Shane McClanahan,TBR,SP,08/21/23,Tommy John surgery,Projected Opening Day Roster,,,,Expected to be ready for Opening Day,Shane McClanahan,21483,663556
Tony Gonsolin,LAD,SP,09/01/23,Tommy John surgery,Projected Opening Day Roster,,,,Expected to be ready for Opening Day,Tony Gonsolin,19388,664062
Drey Jameson,ARI,RP,09/27/23,Tommy John surgery,Projected Opening Day Roster,,,,Questionable for Opening Day,Drey Jameson,26260,686753
Sandy Alcantara,MIA,SP,10/06/23,Tommy John surgery,Projected Opening Day Roster,,,,Expected to be ready for Opening Day,Sandy Alcantara,18684,645261
Félix Bautista,BAL,RP,10/09/23,Tommy John surgery,Projected Opening Day Roster,,,,Questionable for Opening Day,Felix Bautista,20666,642585
Kyle Wright,KCR,SP,10/11/23,Shoulder surgery (torn capsule),Projected Injured List,,,,Questionable for Opening Day,Kyle Wright,19665,657140
Brandon Woodruff,MIL,SP,10/13/23,Shoulder surgery (anterior capsule repair),Projected Injured List,,,,Questionable for Opening Day,Brandon Woodruff,16162,605540
Johan Oviedo,PIT,SP,12/06/23,Tommy John surgery,60-Day IL,03/24/25,05/23/25,,No timetable for return,Johan Oviedo,22487,670912
Ronny Mauricio,NYM,INF,01/02/24,Knee surgery (torn ACL),Projected MiLB,,,,Questionable for Opening Day,Ronny Mauricio,23698,677595
Jesse Scholtens,CHW,SP,03/01/24,Tommy John surgery,60-Day IL,03/24/25,05/23/25,,No timetable for return,Jesse Scholtens,19205,669947
Trevor Stephan,CLE,RP,03/01/24,Elbow surgery (UCL),Projected Injured List,,,,Questionable for Opening Day,Trevor Stephan,19932,663986
Mason Thompson,WSN,RP,03/01/24,Tommy John surgery,60-Day IL,03/24/25,05/23/25,,No timetable for return,Mason Thompson,21850,666168
Jackson Kowar,SEA,RP,03/15/24,Tommy John surgery,60-Day IL,03/24/25,05/23/25,,Out until at least late May,Jackson Kowar,21549,663804
Dauri Moreta,PIT,SP,03/21/24,Tommy John surgery,60-Day IL,03/24/25,05/23/25,,No timetable for return,Dauri Moreta,21101,664294
Jonathan Loáisiga,NYY,RP,04/01/24,Elbow surgery (internal brace),Projected Injured List,,,,Out thru at least late May,Jonathan Loaisiga,19753,642528
Bennett Sousa,HOU,RP,04/03/24,Thoracic outlet syndrome surgery,Projected MiLB,,,,Questionable for Opening Day,Bennett Sousa,21345,656986
Eury Pérez,MIA,SP,04/08/24,Tommy John surgery,60-Day IL,03/24/25,05/23/25,,No timetable for return,Eury Perez,27768,691587
Chris Murphy,BOS,SP,04/10/24,Tommy John surgery,Projected Injured List,,,,No timetable for return,Chris Murphy,26214,669684
Spencer Strider,ATL,SP,04/12/24,Elbow surgery (internal brace),Projected Injured List,,,,No timetable for return,Spencer Strider,27498,675911
Shane Bieber,CLE,SP,04/12/24,Tommy John surgery,Projected Injured List,,,,No timetable for return,Shane Bieber,19427,669456
Sawyer Gipson-Long,DET,SP,04/22/24,Elbow surgery (internal brace),60-Day IL,03/24/25,05/23/25,,No timetable for return,Sawyer Gipson-Long,26048,687830
Robert Stephenson,LAA,RP,04/30/24,Tommy John surgery,60-Day IL,03/24/25,05/23/25,,Out thru at least June,Robert Stephenson,13594,596112
Kyle Nelson,ARI,RP,05/01/24,Thoracic outlet syndrome surgery,Projected MiLB,,,,Questionable for Opening Day,Kyle Nelson,20515,669459
Matt Brash,SEA,RP,05/08/24,Tommy John surgery,Projected Injured List,,,,Questionable for Opening Day,Matt Brash,25756,666374
Ken Waldichuk,ATH,SP,05/15/24,Tommy John surgery/ flexor tendon surgery,Projected Injured List,,,,No timetable for return,Ken Waldichuk,27681,686610
Emmet Sheehan,LAD,SP,05/16/24,Tommy John surgery,Projected Injured List,,,,No timetable for return,Emmet Sheehan,29839,686218
Nate Lavender,TBR,RP,05/17/24,Tommy John surgery (internal brace),60-Day IL,03/24/25,05/23/25,,No timetable for return,Nate Lavender,sa3017917,681320
Garrett Whitlock,BOS,SP,05/30/24,Elbow surgery (internal brace),Projected Opening Day Roster,,,,Questionable for Opening Day,Garrett Whitlock,20191,676477
Everson Pereira,NYY,OF,06/01/24,Tommy John surgery,Projected Opening Day Roster,,,,Questionable for Opening Day,Everson Pereira,23695,677592
Angel Bastardo,TOR,SP,06/01/24,Tommy John surgery,60-Day IL,03/24/25,05/23/25,,No timetable for return,Angel Bastardo,sa3009716,682785
John Means,CLE,SP,06/03/24,Tommy John surgery,Projected Injured List,,,,No timetable for return,John Means,16269,607644
Ronald Acuña Jr.,ATL,OF,06/05/24,Knee surgery (torn ACL),Projected Injured List,,,,No timetable for return,Ronald Acuna Jr.,18401,660670
Cristian Javier,HOU,SP,06/06/24,Tommy John surgery,Projected Injured List,,,,No timetable for return,Cristian Javier,17606,664299
Tyler Wells,BAL,SP,06/17/24,Elbow surgery (internal brace),Projected Injured List,,,,Questionable for 2025 season,Tyler Wells,20000,669330
Alek Manoah,TOR,SP,06/17/24,Elbow surgery (internal brace),Projected Injured List,,,,No timetable for return,Alek Manoah,26410,666201
Kyle Bradish,BAL,SP,06/19/24,Tommy John surgery,Projected Injured List,,,,Questionable for 2025 season,Kyle Bradish,24586,680694
Robert Gasser,MIL,SP,06/24/24,Tommy John surgery,60-Day IL,03/24/25,05/23/25,,No timetable for return,Robert Gasser,29812,688107
Alex Lange,DET,RP,06/25/24,Lat surgery,60-Day IL,03/24/25,05/23/25,,No timetable for return,Alex Lange,19883,656638
Patrick Sandoval,BOS,SP,06/26/24,Elbow surgery (internal brace),60-Day IL,03/24/25,05/23/25,,No timetable for return,Patrick Sandoval,19447,663776
J.P. France,HOU,SP,07/02/24,Shoulder surgery (capsule tear),Projected Injured List,,,,Questionable for Opening Day,J.P. France,21212,641585
Jordan Romano,PHI,RP,07/03/24,Arthroscopic elbow surgery,Projected Opening Day Roster,,,,Questionable for Opening Day,Jordan Romano,16122,605447
